record_type,bank,base_currency,quote_currency,currency_pair,unit,transaction_value,amount_tier,std_transaction_value,std_amount_tier,group,effective_date,last_updated,scraped_at,tt_od_sell,tt_buy,od_buy,mid_rate,sell_margin_pct,buy_margin_pct,od_buy_margin_pct
native,dbs,USD,SGD,USD/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-08-18 21:15:00,2026-08-18 13:15:13,2026-08-18T13:22:00.466139+00:00,1.2873,1.2685,1.2631,1.2779,0.7355818139134577,0.7355818139134577,1.1581500899914035
native,dbs,USD,SGD,USD/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-08-18 21:15:00,2026-08-18 13:15:13,2026-08-18T13:22:00.466139+00:00,1.2881,1.2676,1.2631,1.27785,0.8021285753414009,0.8021285753413836,1.1542825840278625
native,dbs,VND,SGD,VND/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-18 21:15:00,2026-08-18 13:15:13,2026-08-18T13:22:00.466139+00:00,0.005,,,,,,
native,dbs,VND,SGD,VND/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-18 21:15:00,2026-08-18 13:15:13,2026-08-18T13:22:00.466139+00:00,0.005,,,,,,
native,dbs,XAU,SGD,XAU/SGD,1,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-18 21:15:00,2026-08-18 13:15:13,2026-08-18T13:22:00.466139+00:00,5650.437,5581.289,5580.762,5615.862999999999,0.6156489216350279,0.6156489216350117,0.6250330536909405
native,dbs,XAU,SGD,XAU/SGD,1,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-18 21:15:00,2026-08-18 13:15:13,2026-08-18T13:22:00.466139+00:00,5651.03,5581.918,5580.52,5616.474,0.6152614611943291,0.6152614611943453,0.6401525227393507
native,dbs,ZAR,SGD,ZAR/SGD,1,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-18 21:15:00,2026-08-18 13:15:13,2026-08-18T13:22:00.466139+00:00,0.0798,0.0778,,0.0788,1.269035532994925,1.269035532994925,
native,dbs,ZAR,SGD,ZAR/SGD,1,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-18 21:15:00,2026-08-18 13:15:13,2026-08-18T13:22:00.466139+00:00,0.0801,0.0775,,0.07880000000000001,1.6497461928933952,1.649746192893413,
native,ocbc,AED,SGD,AED/SGD,100,"SGD 0 – 39,999.99",tier_1,,,fxRatesSgd,2026-08-18T07:00:14,2026-08-18T07:00:14,2026-08-18T13:22:01.827339+00:00,35.6918,33.6719,,34.6819,2.9118935237112207,2.91218185854869,
native,ocbc,AED,SGD,AED/SGD,100,"SGD 40,000 – 100,000",tier_2,,,fxRatesSgd,2026-08-18T07:00:14,2026-08-18T07:00:14,2026-08-18T13:22:01.827339+00:00,35.6812,33.6892,,34.6819,2.8813300309383227,2.8622999316646416,
native,ocbc,AUD,SGD,AUD/SGD,1,"SGD 0 – 39,999.99",tier_1,,,fxRatesSgd,2026-08-18T07:00:14,2026-08-18T07:00:14,2026-08-18T13:22:01.827339+00:00,0.9246,0.8953,,0.91,1.6043956043955983,1.6153846153846203,
native,ocbc,AUD,SGD,AUD/SGD,1,"SGD 40,000 – 100,000",tier_2,,,fxRatesSgd,2026-08-18T07:00:14,2026-08-18T07:00:14,2026-08-18T13:22:01.827339+00:00,0.9228,0.8972,,0.91,1.406593406593398,1.4065934065934103,
native,ocbc,BGN,SGD,BGN/SGD,100,"SGD 0 – 39,999.99",tier_1,,,fxRatesSgd,2026-08-18T07:00:14,2026-08-18T07:00:14,2026-08-18T13:22:01.827339+00:00,0.0,0.0,,0.0,,,
native,ocbc,BGN,SGD,BGN/SGD,100,"SGD 40,000 – 100,000",tier_2,,,fxRatesSgd,2026-08-18T07:00:14,2026-08-18T07:00:14,2026-08-18T13:22:01.827339+00:00,0.0,0.0,,0.0,,,
native,ocbc,BHD,SGD,BHD/SGD,1,"SGD 0 – 39,999.99",tier_1,,,fxRatesSgd,2026-08-18T07:00:14,2026-08-18T07:00:14,2026-08-18T13:22:01.827339+00:00,0.0,0.0,,0.0,,,
native,ocbc,BHD,SGD,BHD/SGD,1,"SGD 40,000 – 100,000",tier_2,,,fxRatesSgd,2026-08-18T07:00:14,2026-08-18T07:00:14,2026-08-18T13:22:01.827339+00:00,0.0,0.0,,0.0,,,
native,ocbc,CAD,SGD,CAD/SGD,1,"SGD 0 – 39,999.99",tier_1,,,fxRatesSgd,2026-08-18T07:00:14,2026-08-18T07:00:14,2026-08-18T13:22:01.827339+00:00,0.9378,0.9045,,0.9212,1.8019973947025565,1.8128528006947513,
native,ocbc,CAD,SGD,CAD/SGD,1,"SGD 40,000 – 100,000",tier_2,,,fxRatesSgd,2026-08-18T07:00:14,2026-08-18T07:00:14,2026-08-18T13:22:01.827339+00:00,0.936,0.9064,,0.9212,1.6066000868432517,1.6066000868432517,
native,ocbc,CHF,SGD,CHF/SGD,100,"SGD 0 – 39,999.99",tier_1,,,fxRatesSgd,2026-08-18T07:00:14,2026-08-18T07:00:14,2026-08-18T13:22:01.827339+00:00,160.194,154.496,,157.345,1.810670818901134,1.810670818901134,
native,ocbc,CHF,SGD,CHF/SGD,100,"SGD 40,000 – 100,000",tier_2,,,fxRatesSgd,2026-08-18T07:00:14,2026-08-18T07:00:14,2026-08-18T13:22:01.827339+00:00,159.8793,154.8106,,157.345,1.610664463440212,1.6107280180495125,
native,ocbc,CNH,SGD,CNH/SGD,100,"SGD 0 – 39,999.99",tier_1,,,fxRatesSgd,2026-08-18T07:00:14,2026-08-18T07:00:14,2026-08-18T13:22:01.827339+00:00,19.2802,18.7194,,18.9998,1.4758050084737744,1.4758050084737744,
native,ocbc,CNH,SGD,CNH/SGD,100,"SGD 40,000 – 100,000",tier_2,,,fxRatesSgd,2026-08-18T07:00:14,2026-08-18T07:00:14,2026-08-18T13:22:01.827339+00:00,19.2707,18.7383,,18.9998,1.4258044821524491,1.3763302771608208,
